source,name,area,paired_tool,paired_tool_exists,bytes,lines,has_shebang,has_main_guard,docstring
bench/airgap_audit_ci_smoke.py,airgap_audit_ci_smoke.py,airgap,bench/airgap_audit.py,True,2999,75,True,True,Smoke test for air-gap audit artifact generation.
bench/bench_artifact_manifest_ci_smoke.py,bench_artifact_manifest_ci_smoke.py,bench,bench/bench_artifact_manifest.py,True,22103,513,True,True,Stdlib-only CI smoke gate for benchmark artifact manifests.
bench/bench_matrix_audit_ci_smoke.py,bench_matrix_audit_ci_smoke.py,bench,bench/bench_matrix_audit.py,True,4815,121,True,True,Stdlib-only CI smoke gate for benchmark matrix audits.
bench/bench_result_index_ci_smoke.py,bench_result_index_ci_smoke.py,bench,bench/bench_result_index.py,True,29014,657,True,True,Stdlib-only CI smoke gate for benchmark result indexing.
bench/bench_smoke_manifest_ci_smoke.py,bench_smoke_manifest_ci_smoke.py,bench,bench/bench_smoke_manifest.py,True,2865,94,True,True,CI smoke for bench_smoke_manifest.
bench/bench_trend_export_ci_smoke.py,bench_trend_export_ci_smoke.py,bench,bench/bench_trend_export.py,True,29268,741,True,True,Stdlib-only CI smoke gate for benchmark trend exports.
bench/build_compare_ci_smoke.py,build_compare_ci_smoke.py,build,bench/build_compare.py,True,18421,499,True,True,Stdlib-only CI smoke gate for host-side build benchmark comparisons.
bench/build_pair_manifest_audit_ci_smoke.py,build_pair_manifest_audit_ci_smoke.py,build,bench/build_pair_manifest_audit.py,True,782,34,True,True,Smoke gate for build_pair_manifest_audit.py.
bench/build_pair_select_ci_smoke.py,build_pair_select_ci_smoke.py,build,bench/build_pair_select.py,True,4864,127,True,True,Smoke gate for build_pair_select.py.
bench/dashboard_digest_ci_smoke.py,dashboard_digest_ci_smoke.py,dashboard,bench/dashboard_digest.py,True,1945,56,True,True,Smoke test for dashboard digest artifact generation.
bench/dashboard_freshness_audit_ci_smoke.py,dashboard_freshness_audit_ci_smoke.py,dashboard,bench/dashboard_freshness_audit.py,True,2686,73,True,True,Smoke test for dashboard freshness audit artifact generation.
