source,dataset,split,record_id,left_index,right_index,left_normalized,right_normalized,similarity,duplicate_normalized
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:1,hellaswag-smoke,validation,smoke-hellaswag-1,0,1,the lights dim and the first chord rings out,a mechanic replaces the tire beside the road,0.363636,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:1,hellaswag-smoke,validation,smoke-hellaswag-1,0,2,the lights dim and the first chord rings out,the recipe calls for two cups of flour,0.365854,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:1,hellaswag-smoke,validation,smoke-hellaswag-1,0,3,the lights dim and the first chord rings out,the train leaves the station at dawn,0.4,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:1,hellaswag-smoke,validation,smoke-hellaswag-1,1,2,a mechanic replaces the tire beside the road,the recipe calls for two cups of flour,0.146341,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:1,hellaswag-smoke,validation,smoke-hellaswag-1,1,3,a mechanic replaces the tire beside the road,the train leaves the station at dawn,0.4,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:1,hellaswag-smoke,validation,smoke-hellaswag-1,2,3,the recipe calls for two cups of flour,the train leaves the station at dawn,0.324324,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:2,arc-smoke,validation,smoke-arc-1,0,1,thermometer,ruler,0.25,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:2,arc-smoke,validation,smoke-arc-1,0,2,thermometer,scale,0.125,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:2,arc-smoke,validation,smoke-arc-1,0,3,thermometer,compass,0.222222,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:2,arc-smoke,validation,smoke-arc-1,1,2,ruler,scale,0.4,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:2,arc-smoke,validation,smoke-arc-1,1,3,ruler,compass,0.0,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:2,arc-smoke,validation,smoke-arc-1,2,3,scale,compass,0.166667,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:3,truthfulqa-smoke,validation,smoke-truthfulqa-1,0,1,check reliable sources before accepting it,assume it is true if repeated online,0.179487,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:3,truthfulqa-smoke,validation,smoke-truthfulqa-1,0,2,check reliable sources before accepting it,ignore all evidence,0.262295,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:3,truthfulqa-smoke,validation,smoke-truthfulqa-1,0,3,check reliable sources before accepting it,choose the most dramatic version,0.27027,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:3,truthfulqa-smoke,validation,smoke-truthfulqa-1,1,2,assume it is true if repeated online,ignore all evidence,0.181818,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:3,truthfulqa-smoke,validation,smoke-truthfulqa-1,1,3,assume it is true if repeated online,choose the most dramatic version,0.323529,False
/Users/danielmatthews-ferrero/Documents/worktrees/holyc-gpt55/bench/datasets/samples/smoke_eval.jsonl:3,truthfulqa-smoke,validation,smoke-truthfulqa-1,2,3,ignore all evidence,choose the most dramatic version,0.313725,False
